code,name
A01,Larsen's Opening
A02,Bird's Opening
A03,"Bird's Opening, 1...d5"
A04,Zukertort Opening
A05,"Zukertort Opening, 2...Nf6"
A06,R?ti Opening
A07,King's Indian attack (Barcza system)
A08,"King's Indian Attack, 3. Bg2"
A09,"R?ti Opening, without: 2...c6, 2...e6"
A10,English Opening
A11,"English, Caro-Kann defensive system"
A12,"English, Caro-Kann defensive system"
A13,English Opening
A14,"English, Neo-Catalan declined"
A15,"English, 1...Nf6 (Anglo-Indian defense)"
A16,English Opening
A17,"English Opening, Hedgehog Defense"
A18,"English, Mikenas-Carls variation"
A19,"English, Mikenas-Carls, Sicilian variation"
A20,English Opening
A21,English Opening
A22,English Opening
A23,"English Opening, Bremen system, Keres variation"
A24,"English Opening, Bremen system with 3...g6"
A25,"English Opening, Sicilian Reversed"
A26,"English Opening, Closed system"
A27,"English Opening, Three knights system"
A28,"English Opening, Four knights system"
A29,"English Opening, Four knights, kingside Fianchetto"
A30,"English Opening, Symmetrical variation"
A31,"English Opening, Symmetrical, Benoni formation"
A32,"English Opening, Symmetrical"
A33,"English Opening, Symmetrical"
A34,"English Opening, Symmetrical"
A35,"English Opening, Symmetrical"
A36,"English Opening, Symmetrical"
A37,"English Opening, Symmetrical"
A38,"English Opening, Symmetrical"
A39,"English Opening, Symmetrical, Main line with d4"
A40,"Queen's Pawn Game, Irregular Defences"
A41,"Queen's Pawn Game, Wade Defense"
A42,"Modern defense, Averbakh system"
A43,Old Benoni defense
A44,Old Benoni defense
A45,"Queen's Pawn Game, Trompowsky Attack"
A46,"Queen's Pawn Game, Torre Attack"
A47,Queen's Indian Defense
A48,"King's Indian, East Indian defense"
A49,"King's Indian, Fianchetto without c4"
A50,Queen's Pawn Game (1... Nf6 2. c4)
A51,Budapest Defense declined
A52,Budapest defense
A53,Old Indian Defense
A54,"Old Indian, Ukrainian variation"
A55,"Old Indian, Main line"
A56,Benoni Defense
A57,Benko gambit
A58,Benko gambit accepted
A59,"Benko gambit, 7.e4"
A60,Benoni defense
A61,Benoni defense
A62,"Benoni, Fianchetto variation"
A63,"Benoni, Fianchetto variation, 9...Nbd7"
A64,"Benoni, Fianchetto variation, 11...Re8"
A65,"Benoni, 6.e4"
A66,"Benoni, pawn storm variation"
A67,"Benoni, Taimanov variation"
A68,"Benoni, Four pawns attack"
A69,"Benoni, Four pawns attack, Main line"
A70,"Benoni, Classical with e4 and Nf3"
A71,"Benoni, Classical, 8.Bg5"
A72,"Benoni, Classical without 9.O-O"
A73,"Benoni, Classical, 9.O-O"
A74,"Benoni, Classical, 9...a6, 10.a4"
A75,"Benoni, Classical with ...a6 and 10...Bg4"
A76,"Benoni, Classical, 9...Re8"
A77,"Benoni, Classical, 9...Re8, 10.Nd2"
A78,"Benoni, Classical with ...Re8 and ...Na6"
A79,"Benoni, Classical, 11.f3"
A80,Dutch defense
A81,Dutch defense
A82,"Dutch, Staunton gambit"
A83,"Dutch, Staunton gambit, Staunton's line"
A84,Dutch defense
A85,Dutch with 2.c4 & 3.Nc3
A86,Dutch with 2.c4 & 3.g3
A87,"Dutch, Leningrad, Main variation"
A88,"Dutch, Leningrad, Main variation with 7...c6"
A89,"Dutch, Leningrad, Main variation with Nc6"
A90,Dutch defense
A91,Dutch defense
A92,Dutch defense
A93,"Dutch, Stonewall, Botwinnik variation"
A94,"Dutch, Stonewall with Ba3"
A95,"Dutch, Stonewall with Nc3"
A96,"Dutch, Classical variation"
A97,"Dutch, Ilyin-Genevsky variation"
A98,"Dutch, Ilyin-Genevsky variation with Qc2"
A99,"Dutch, Ilyin-Genevsky variation with b3"
B00,"King's Pawn Opening, Irregular Defenses"
B01,Scandinavian Defense (Center-Counter Defense)
B02,Alekhine's defense
B03,Alekhine's defense
B04,"Alekhine's defense, Modern variation"
B05,"Alekhine's defense, Modern variation, 4...Bg4"
B06,Robatsch (Modern) defense
B07,Pirc defense
B08,"Pirc, Classical (Two knights) system"
B09,"Pirc, Austrian attack"
B10,"Caro-Kann Defense, Irregular Responses"
B11,"Caro-Kann, Two knights, 3...Bg4"
B12,Caro-Kann defense
B13,"Caro-Kann, Exchange variation"
B14,"Caro-Kann, Panov-Botvinnik attack, 5...e6"
B15,Caro-Kann defense
B16,"Caro-Kann, Bronstein-Larsen variation"
B17,"Caro-Kann, Steinitz variation"
